,Data,value,capodanno,epifania,pasqua,ferragosto,natale,ultimodellanno,sabato,domenica,vigilia,santostefano,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
176,2010-06-26,104.226384,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
177,2010-06-27,79.586481,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
178,2010-06-28,128.836731,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
179,2010-06-29,126.515359,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
180,2010-06-30,131.960041,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
181,2010-07-01,142.247678,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
182,2010-07-02,169.510699,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
183,2010-07-03,121.992091,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
184,2010-07-04,100.000711,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
185,2010-07-05,139.689856,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
186,2010-07-06,131.376349,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
187,2010-07-07,155.793441,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
188,2010-07-08,152.735959,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
189,2010-07-09,164.491781,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
190,2010-07-10,120.093313,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
191,2010-07-11,106.182421,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
192,2010-07-12,143.25764099999995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
193,2010-07-13,183.609148,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
194,2010-07-14,188.037365,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
195,2010-07-15,176.352448,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
196,2010-07-16,187.080334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
197,2010-07-17,137.62832,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
198,2010-07-18,88.20589,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
199,2010-07-19,127.634154,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200,2010-07-20,201.328568,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
201,2010-07-21,186.109923,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
202,2010-07-22,202.385293,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
203,2010-07-23,208.164691,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
204,2010-07-24,129.254327,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
205,2010-07-25,100.132048,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
206,2010-07-26,111.190223,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
207,2010-07-27,137.44683500000002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
208,2010-07-28,211.176763,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
209,2010-07-29,129.477816,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
210,2010-07-30,116.208054,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
211,2010-07-31,142.737426,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
212,2010-08-01,117.45,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
213,2010-08-02,159.47544,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
214,2010-08-03,143.437083,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
215,2010-08-04,151.306682,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
216,2010-08-05,152.820758,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
217,2010-08-06,135.57925500000002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
218,2010-08-07,144.942119,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
219,2010-08-08,119.888371,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
220,2010-08-09,118.306501,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
221,2010-08-10,109.656701,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
222,2010-08-11,115.34684,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
223,2010-08-12,118.050046,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
224,2010-08-13,111.413571,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
225,2010-08-14,145.685991,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
226,2010-08-15,88.605041,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
227,2010-08-16,107.08628799999998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
228,2010-08-17,111.78518400000002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
229,2010-08-18,109.13075,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
230,2010-08-19,120.515396,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
231,2010-08-20,115.02154099999998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
232,2010-08-21,131.715343,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
233,2010-08-22,117.439898,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
234,2010-08-23,182.204862,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
235,2010-08-24,184.017686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
236,2010-08-25,182.052075,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
237,2010-08-26,181.48213,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
238,2010-08-27,184.160128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
239,2010-08-28,122.377454,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
240,2010-08-29,118.064885,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
241,2010-08-30,169.74,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
242,2010-08-31,206.01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
243,2010-09-01,199.239396,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
244,2010-09-02,199.960024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
245,2010-09-03,183.503207,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
246,2010-09-04,135.226029,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
247,2010-09-05,118.043212,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
248,2010-09-06,134.121651,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
249,2010-09-07,135.411695,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
250,2010-09-08,150.54953899999995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
