Data;value
2011-07-13;209.808234
2011-07-14;204.836521
2011-07-15;178.26647
2011-07-16;119.120969
2011-07-17;82.00588
2011-07-18;138.135837
2011-07-19;153.377599
2011-07-20;151.95874
2011-07-21;141.10254
2011-07-22;152.066963
2011-07-23;125.415016
2011-07-24;93.31055
2011-07-25;140.242594
2011-07-26;172.47
2011-07-27;148.854464
2011-07-28;156.253769
2011-07-29;133.092113
2011-07-30;124.883029
2011-07-31;77.225323
2011-08-01;120.501757
2011-08-02;156.418256
2011-08-03;138.665367
2011-08-04;143.817518
2011-08-05;137.828153
2011-08-06;127.291824
2011-08-07;127.081482
2011-08-08;126.162703
2011-08-09;111.044725
2011-08-10;148.295793
2011-08-11;139.830447
2011-08-12;131.673904
2011-08-13;128.965789
2011-08-14;106.252998
2011-08-15;109.228334
2011-08-16;133.59201
2011-08-17;126.72313
2011-08-18;145.423974
2011-08-19;145.394494
2011-08-20;133.006521
2011-08-21;141.828812
2011-08-22;154.12272
2011-08-23;159.740893
2011-08-24;163.930616
2011-08-25;179.131415
2011-08-26;174.253038
2011-08-27;137.849797
2011-08-28;123.719993
2011-08-29;203.363503
2011-08-30;163.764693
2011-08-31;163.671918
2011-09-01;195.648786
2011-09-02;193.079618
2011-09-03;150.931959
2011-09-04;141.33559
2011-09-05;180.241541
2011-09-06;163.719553
2011-09-07;181.112757
2011-09-08;177.906224
2011-09-09;183.418691
2011-09-10;141.384506
2011-09-11;158.915203
2011-09-12;173.323422
2011-09-13;182.550026
2011-09-14;187.431625
2011-09-15;189.366728
2011-09-16;194.127902
2011-09-17;166.610716
2011-09-18;125.008759
2011-09-19;154.504327
2011-09-20;172.820147
2011-09-21;156.017495
2011-09-22;162.440451
2011-09-23;162.201685
2011-09-24;145.230137
2011-09-25;119.271604
2011-09-26;165.853053
2011-09-27;168.877849
2011-09-28;161.367117
2011-09-29;161.148151
2011-09-30;165.466857
2011-10-01;147.927862
2011-10-02;142.589059
2011-10-03;172.075538
2011-10-04;153.70043
2011-10-05;148.91592
2011-10-06;163.687
2011-10-07;154.093355
2011-10-08;142.300367
2011-10-09;124.955585
2011-10-10;148.822959
2011-10-11;155.064376
2011-10-12;169.632083
2011-10-13;158.652293
2011-10-14;154.99975
2011-10-15;141.05887
2011-10-16;156.168178
2011-10-17;155.267
2011-10-18;164.228422
2011-10-19;162.352452
2011-10-20;161.346522
2011-10-21;194.784201
2011-10-22;170.746878
2011-10-23;144.480288
2011-10-24;167.553067
2011-10-25;159.508709
2011-10-26;159.88776
2011-10-27;164.280134
2011-10-28;155.755722
2011-10-29;163.858199
2011-10-30;155.873396
2011-10-31;158.447657
2011-11-01;111.980323
2011-11-02;158.893096
2011-11-03;154.612124
2011-11-04;157.443337
2011-11-05;147.00616
2011-11-06;103.316834
2011-11-07;154.850529
2011-11-08;155.213287
2011-11-09;157.630064
2011-11-10;155.968646
2011-11-11;157.088936
2011-11-12;154.68096
2011-11-13;127.043388
2011-11-14;156.04807
2011-11-15;157.206637
2011-11-16;158.167158
2011-11-17;159.083431
2011-11-18;158.719672
2011-11-19;149.220297
2011-11-20;126.304198
2011-11-21;153.08551
2011-11-22;149.385924
2011-11-23;164.833529
2011-11-24;160.189125
2011-11-25;156.424305
2011-11-26;160.420654
2011-11-27;121.778881
2011-11-28;162.766234
2011-11-29;160.777225
2011-11-30;167.403934
2011-12-01;168.731097
2011-12-02;173.74505
2011-12-03;163.27803
2011-12-04;117.995253
2011-12-05;154.127136
2011-12-06;153.38
2011-12-07;159.178338
2011-12-08;144.360027
2011-12-09;154.737789
2011-12-10;132.678511
2011-12-11;118.633905
2011-12-12;181.452742
2011-12-13;162.738864
2011-12-14;166.597686
2011-12-15;159.088836
2011-12-16;159.416839
2011-12-17;142.759003
2011-12-18;137.390508
2011-12-19;160.753544
2011-12-20;161.941547
2011-12-21;164.854387
2011-12-22;154.623658
2011-12-23;147.920034
2011-12-24;170.108146
2011-12-25;151.832376
2011-12-26;136.935203
2011-12-27;151.718536
2011-12-28;137.341579
2011-12-29;152.78045
2011-12-30;144.685889
2011-12-31;138.64165
2012-01-01;124.4303
2012-01-02;158.39769
2012-01-03;160.003633
2012-01-04;158.112319
2012-01-05;160.329765
2012-01-06;101.171948
2012-01-07;148.101534
2012-01-08;140.572675
2012-01-09;165.407319
2012-01-10;160.52289
2012-01-11;168.486351
2012-01-12;163.70418
2012-01-13;157.352403
2012-01-14;133.80922
2012-01-15;121.615889
2012-01-16;158.561617
2012-01-17;168.334549
2012-01-18;167.063012
2012-01-19;161.246436
2012-01-20;157.513898
2012-01-21;160.39237
2012-01-22;108.43394
2012-01-23;158.131911
2012-01-24;158.788267
2012-01-25;156.944994
2012-01-26;157.414553
2012-01-27;163.095655
2012-01-28;149.820177
2012-01-29;134.757048
2012-01-30;157.365626
2012-01-31;172.422958
2012-02-01;163.325275
2012-02-02;164.576944
2012-02-03;182.223856
2012-02-04;146.46729
2012-02-05;129.049461
2012-02-06;216.697755
2012-02-07;222.568152
2012-02-08;247.613372
2012-02-09;254.403071
2012-02-10;288.834694
2012-02-11;169.763917
2012-02-12;151.80983
2012-02-13;221.942134
2012-02-14;174.062926
2012-02-15;160.112323
2012-02-16;162.655513
2012-02-17;164.17935
2012-02-18;155.458904
2012-02-19;144.027499
2012-02-20;176.217117
2012-02-21;166.689619
2012-02-22;157.805812
2012-02-23;157.348082
2012-02-24;163.130737
2012-02-25;137.480898
2012-02-26;84.563397
2012-02-27;149.783981
2012-02-28;154.590056
2012-02-29;157.31243
2012-03-01;153.935569
2012-03-02;154.851295
2012-03-03;135.086174
2012-03-04;103.061259
2012-03-05;156.040208
2012-03-06;157.694265
2012-03-07;154.738874
2012-03-08;157.249969
2012-03-09;147.967347
2012-03-10;109.128297
2012-03-11;85.033462
2012-03-12;150.281375
2012-03-13;150.083262
2012-03-14;151.532416
2012-03-15;139.472416
2012-03-16;144.645649
2012-03-17;114.550978
2012-03-18;84.129708
2012-03-19;155.949811
2012-03-20;163.156309
2012-03-21;137.636678
2012-03-22;125.804009
2012-03-23;146.739643
2012-03-24;151.469786
2012-03-25;81.352852
2012-03-26;153.337482
2012-03-27;142.26981
2012-03-28;140.271905
2012-03-29;149.787109
2012-03-30;148.582534
2012-03-31;156.397575
